"Time [s]","Moving1.Position [deg]"
1.13129999999998,2.12696828049563
1.13264999999998,2.13403071863646
1.13399999999998,2.14110755296554
1.13534999999998,2.14819664521849
1.13669999999998,2.15529561709714
1.13804999999998,2.1624027356469
1.13939999999998,2.1695175797557
1.14074999999998,2.17664124804789
1.14209999999998,2.18377583256464
1.14344999999998,2.19092363063676
1.14479999999998,2.19808625884088
1.14614999999998,2.20526400349856
1.14749999999998,2.21245571479098
1.14884999999998,2.21965926498572
1.15019999999998,2.22687238631616
1.15154999999998,2.23409352725396
1.15289999999998,2.24132247786792
1.15424999999998,2.24856048106087
1.15559999999998,2.25580963816616
1.15694999999998,2.26307211273215
1.15829999999998,2.27034926452553
1.15964999999998,2.27764109630901
1.16099999999998,2.28494625707143
1.16234999999998,2.29226259222201
1.16369999999998,2.29958800757837
1.16504999999998,2.3069212681226
1.16639999999998,2.31426253936956
1.16774999999998,2.32161330223032
1.16909999999998,2.32897567510122
1.17044999999998,2.33635160195485
1.17179999999998,2.34374204313133
1.17314999999998,2.35114658524918
1.17449999999998,2.35856361387218
1.17584999999998,2.36599098068411
1.17719999999998,2.37342687279332
1.17854999999998,2.38087052456027
1.17989999999998,2.38832259842159
1.18124999999998,2.39578482804786
1.18259999999998,2.40325928992016
1.18394999999998,2.41074757357413
1.18529999999998,2.41825009768171
1.18664999999998,2.42576594308442
1.18799999999998,2.43329324291375
1.18934999999998,2.44082996557821
1.19069999999998,2.44837473227511
1.19204999999998,2.45592741298519
1.19339999999998,2.46348920388533
1.19474999999998,2.47106202124038
1.19609999999998,2.47864774086642
1.19744999999998,2.48624739197215
1.19879999999998,2.49386071727494
1.20014999999998,2.50148628638618
1.20149999999998,2.50912211266755
1.20284999999998,2.51676649170421
1.20419999999998,2.52441869824343
1.20554999999998,2.53207936389956
1.20689999999998,2.53975011558272
1.20824999999998,2.54743286924679
1.20959999999998,2.55512903151077
1.21094999999998,2.56283886923118
1.21229999999998,2.57056140061269
1.21364999999998,2.57829482628531
1.21499999999998,2.58603731693858
1.21634999999998,2.59378777057003
1.21769999999998,2.60154634001176
1.21904999999998,2.60931434020342
1.22039999999998,2.61709359777207
1.22174999999998,2.62488570039569
1.22309999999998,2.63269127085284
1.22444999999998,2.64050969656165
1.22579999999998,2.64833940666701
1.22714999999998,2.65617857204224
1.22849999999998,2.66402589336719
1.22984999999998,2.67188118892206
1.23119999999998,2.67974550400774
1.23254999999998,2.68762053475081
1.23389999999998,2.69550792059426
1.23524999999998,2.70340849294352
1.23659999999998,2.71132189845645
1.23794999999998,2.71924676343863
1.23929999999998,2.72718131924117
1.24064999999998,2.73512418837555
1.24199999999998,2.74307499860147
1.24334999999998,2.75103460470661
1.24469999999998,2.75900458317294
1.24604999999998,2.76698655392532
1.24739999999998,2.77498143635517
1.24874999999998,2.78298901871935
1.25009999999998,2.79100805995654
1.25144999999998,2.79903686711582
1.25279999999998,2.80707406564132
1.25414999999998,2.81511921765566
1.25549999999998,2.82317308413068
1.25684999999998,2.83123715618233
1.25819999999998,2.83931299748123
1.25954999999998,2.84740151773605
1.26089999999998,2.85550253624925
1.26224999999998,2.86361487095337
1.26359999999998,2.87173689886732
1.26494999999998,2.87986730895091
1.26629999999998,2.88800570433508
1.26764999999998,2.89615284704107
1.26899999999998,2.90431018020322
1.27034999999998,2.91247918679705
1.27169999999998,2.92066068326778
1.27304999999998,2.92885442119268
1.27439999999998,2.93705921038338
1.27574999999998,2.94527349239389
1.27709999999998,2.95349607467727
1.27844999999998,2.96172669815247
1.27979999999998,2.96996620546613
1.28114999999998,2.97821601851386
1.28249999999998,2.98647750925214
1.28384999999998,2.99475132115957
1.28519999999998,3.00303705294714
1.28654999999998,3.01133345798917
1.28789999999998,3.01963905632406
1.28924999999998,3.02795283583998
1.29059999999998,3.03627476774993
1.29194999999998,3.04460582524944
1.29329999999998,3.0529474128955
1.29464999999998,3.06130074006597
1.29599999999998,3.06966619754472
1.29734999999998,3.07804316624997
1.29869999999998,3.08643032767333
1.30004999999998,3.09482632458922
1.30139999999998,3.10323040307374
1.30274999999998,3.11164284513746
1.30409999999998,3.1200647638524
1.30544999999998,3.12849751537474
1.30679999999998,3.13694206348591
1.30814999999998,3.14539846932839
1.30949999999998,3.15386586330524
1.31084999999998,3.1623428897498
1.31219999999998,3.17082839111763
1.31354999999998,3.17932197128239
1.31489999999998,3.18782425979543
1.31624999999998,3.19633647361841
1.31759999999998,3.2048598422181
1.31894999999998,3.2133949792496
1.32029999999998,3.22194155728684
1.32164999999998,3.23049847896952
1.32299999999998,3.23906444688497
1.32434999999998,3.24763861345223
1.32569999999998,3.25622104168653
1.32704999999998,3.26481266313059
1.32839999999998,3.27341471676894
1.32974999999998,3.28202817138071
1.33109999999998,3.29065319306311
1.33244999999998,3.29928906015571
1.33379999999998,3.30793454431502
1.33514999999998,3.31658855773048
1.33649999999998,3.3252506962673
1.33784999999998,3.33392151734055
1.33919999999998,3.34260213582198
1.34054999999998,3.35129367918814
1.34189999999998,3.35999669867273
1.34324999999998,3.36871086373981
1.34459999999998,3.37743513948561
1.34594999999998,3.38616834433421
1.34729999999998,3.39490975998812
1.34864999999998,3.40365954954444
1.34999999999998,3.4124186428771
1.35134999999998,3.42118818545302
1.35269999999998,3.42996898578812
1.35404999999998,3.43876105102453
1.35539999999998,3.44756358373198
1.35674999999998,3.45637541742139
1.35809999999998,3.46519564920991
1.35944999999998,3.47402411690496
1.36079999999998,3.48286153730241
1.36214999999998,3.49170900232219
1.36349999999998,3.50056746102195
1.36484999999998,3.50943717911226
1.36619999999998,3.51831758860643
1.36754999999998,3.52720760136278
1.36889999999998,3.5361062175265
1.37024999999998,3.54501304888092
1.37159999999998,3.553928600941
1.37294999999998,3.56285388848615
1.37429999999998,3.57178991634924
1.37564999999998,3.58073713115009
1.37699999999998,3.58969515502144
1.37834999999998,3.59866299724635
1.37969999999998,3.60763961929266
1.38104999999998,3.6166244926736
1.38239999999998,3.62561794761967
1.38374999999998,3.63462092234799
1.38509999999998,3.64363442775851
1.38644999999998,3.6526590214468
1.38779999999998,3.66169446400809
1.38914999999998,3.67073985596051
1.39049999999998,3.67979415637361
1.39184999999998,3.68885676041222
1.39319999999998,3.69792787050897
1.39454999999998,3.7070083550974
1.39589999999998,3.71609921003935
1.39724999999998,3.72520105381129
1.39859999999998,3.73431373898441
1.39994999999998,3.74343643707284
1.40129999999998,3.75256812149167
1.40264999999998,3.7617081549155
1.40399999999998,3.77085666992298
1.40534999999998,3.78001448945668
1.40669999999998,3.78918258780644
1.40804999999998,3.79836160019813
1.40939999999998,3.80755141682247
1.41074999999998,3.81675124682736
1.41209999999998,3.82596008527735
1.41344999999998,3.83517729931655
1.41479999999998,3.84440300746147
1.41614999999998,3.85363801393198
1.41749999999998,3.86288327219801
1.41884999999998,3.87213940383086
1.42019999999998,3.8814062931305
1.42154999999998,3.89068315346708
1.42289999999998,3.89996900023088
1.42424999999998,3.90926323264853
1.42559999999998,3.91856600370384
1.42694999999998,3.92787812482045
1.42829999999998,3.9372005312774
1.42964999999998,3.94653379978689
1.43099999999998,3.95587776235134
1.43234999999998,3.96523160544185
1.43369999999998,3.97459436821822
1.43504999999998,3.98396551365256
1.43639999999998,3.99334527848249
1.43774999999998,4.00273450122849
1.43909999999998,4.01213409461742
1.44044999999998,4.02154455315089
1.44179999999998,4.03096561215712
1.44314999999998,4.04039640801273
1.44449999999998,4.04983601836764
1.44584999999998,4.05928400717657
1.44719999999998,4.06874073743551
1.44854999999998,4.07820708017968
1.44989999999998,4.0876839089364
1.45124999999998,4.0971715927804
1.45259999999998,4.10666973419099
1.45394999999998,4.11617741568856
1.45529999999998,4.12569378283562
1.45664999999998,4.13521854513626
1.45799999999998,4.1447522178938
1.45934999999998,4.15429570003547
1.46069999999998,4.16384979806964
1.46204999999998,4.17341471036536
1.46339999999998,4.18298988036556
1.46474999999998,4.19257434996779
1.46609999999998,4.20216737262793
1.46744999999998,4.21176886252631
1.46879999999998,4.22137949735964
1.47014999999998,4.23100019877027
1.47149999999998,4.24063165591474
1.47284999999998,4.25027384310701
1.47419999999998,4.25992602633283
1.47554999999998,4.26958724067447
1.47689999999998,4.27925690559978
1.47824999999998,4.28893521003278
1.47959999999998,4.29862297460228
1.48094999999998,4.30832111300386
1.48229999999998,4.31803011205746
1.48364999999998,4.32774966788101
1.48499999999998,4.33747888189006
1.48634999999997,4.34721686049997
1.48769999999997,4.35696326766392
1.48904999999997,4.36671860133678
1.49039999999997,4.37648377760356
1.49174999999997,4.38625962882919
1.49309999999997,4.39604634748588
1.49444999999997,4.40584333595686
1.49579999999997,4.41564960611859
1.49714999999997,4.42546443661084
1.49849999999997,4.43528783259332
1.49984999999997,4.44512055014397
1.50119999999997,4.45496354608339
1.50254999999997,4.46481745365434
1.50389999999997,4.47468210970829
1.50524999999997,4.48455665996769
1.50659999999997,4.49444014541575
1.50794999999997,4.50433211685738
1.50929999999997,4.51423298609124
1.51064999999997,4.52414368125618
1.51199999999997,4.53406511754349
1.51334999999997,4.54399758535289
1.51469999999997,4.553940521842
1.51604999999997,4.56389290077413
1.51739999999997,4.57385393724434
1.51874999999997,4.5838235992836
1.52009999999997,4.5938026565908
1.52144999999997,4.60379210935405
1.52279999999997,4.61379261297659
1.52414999999997,4.62380397028056
1.52549999999997,4.6338252640327
1.52684999999997,4.64385550477943
1.52819999999997,4.65389427317148
1.52954999999997,4.66394205407582
1.53089999999997,4.67399981269714
1.53224999999997,4.6840684437929
1.53359999999997,4.69414812517432
1.53494999999997,4.70423816998075
1.53629999999997,4.71433751690022
1.53764999999997,4.72444546219188
1.53899999999997,4.73456214363805
1.54034999999997,4.74468841677445
