"Time [s]","$supplied_voltage []"
0.577800000000001,7.11387360000001
0.579150000000001,7.13049480000001
0.580500000000001,7.14711600000001
0.581850000000001,7.16373720000001
0.5832,7.1803584
0.58455,7.1969796
0.5859,7.2136008
0.58725,7.230222
0.5886,7.2468432
0.58995,7.2634644
0.5913,7.2800856
0.59265,7.2967068
0.594,7.313328
0.59535,7.3299492
0.5967,7.3465704
0.59805,7.3631916
0.5994,7.3798128
0.60075,7.396434
0.6021,7.4130552
0.60345,7.4296764
0.6048,7.4462976
0.60615,7.4629188
0.6075,7.47954
0.60885,7.4961612
0.6102,7.5127824
0.61155,7.5294036
0.6129,7.5460248
0.61425,7.562646
0.6156,7.5792672
0.61695,7.5958884
0.6183,7.6125096
0.619649999999999,7.62913079999999
0.620999999999999,7.64575199999999
0.622349999999999,7.66237319999999
0.623699999999999,7.67899439999999
0.625049999999999,7.69561559999999
0.626399999999999,7.71223679999999
0.627749999999999,7.72885799999999
0.629099999999999,7.74547919999999
0.630449999999999,7.76210039999999
0.631799999999999,7.77872159999999
0.633149999999999,7.79534279999999
0.634499999999999,7.81196399999999
0.635849999999999,7.82858519999999
0.637199999999999,7.84520639999999
0.638549999999999,7.86182759999999
0.639899999999999,7.87844879999999
0.641249999999999,7.89506999999999
0.642599999999999,7.91169119999999
0.643949999999999,7.92831239999999
0.645299999999999,7.94493359999999
0.646649999999999,7.96155479999999
0.647999999999999,7.97817599999999
0.649349999999999,7.99479719999999
0.650699999999999,8.01141839999999
0.652049999999999,8.02803959999999
0.653399999999999,8.04466079999999
0.654749999999998,8.06128199999997
0.656099999999998,8.07790319999997
0.657449999999998,8.09452439999997
0.658799999999998,8.11114559999998
0.660149999999998,8.12776679999997
0.661499999999998,8.14438799999997
0.662849999999998,8.16100919999998
0.664199999999998,8.17763039999998
0.665549999999998,8.19425159999997
0.666899999999998,8.21087279999998
0.668249999999998,8.22749399999998
0.669599999999998,8.24411519999997
0.670949999999998,8.26073639999998
0.672299999999998,8.27735759999998
0.673649999999998,8.29397879999997
0.674999999999998,8.31059999999998
0.676349999999998,8.32722119999998
0.677699999999998,8.34384239999997
0.679049999999998,8.36046359999998
0.680399999999998,8.37708479999998
0.681749999999998,8.39370599999998
0.683099999999998,8.41032719999998
0.684449999999998,8.42694839999998
0.685799999999998,8.44356959999998
0.687149999999998,8.46019079999997
0.688499999999998,8.47681199999998
0.689849999999998,8.49343319999998
0.691199999999997,8.51005439999996
0.692549999999997,8.52667559999996
0.693899999999997,8.54329679999996
0.695249999999997,8.55991799999996
0.696599999999997,8.57653919999996
0.697949999999997,8.59316039999996
0.699299999999997,8.60978159999996
0.700649999999997,8.62640279999996
0.701999999999997,8.64302399999996
0.703349999999997,8.65964519999996
0.704699999999997,8.67626639999996
0.706049999999997,8.69288759999996
0.707399999999997,8.70950879999996
0.708749999999997,8.72612999999996
0.710099999999997,8.74275119999996
0.711449999999997,8.75937239999996
0.712799999999997,8.77599359999996
0.714149999999997,8.79261479999996
0.715499999999997,8.80923599999996
0.716849999999997,8.82585719999996
0.718199999999997,8.84247839999996
0.719549999999997,8.85909959999996
0.720899999999997,8.87572079999996
0.722249999999997,8.89234199999996
0.723599999999997,8.90896319999996
0.724949999999997,8.92558439999996
0.726299999999997,8.94220559999996
0.727649999999996,8.95882679999995
0.728999999999996,8.97544799999995
0.730349999999996,8.99206919999995
0.731699999999996,9.00869039999995
0.733049999999996,9.02531159999995
0.734399999999996,9.04193279999995
0.735749999999996,9.05855399999995
0.737099999999996,9.07517519999995
0.738449999999996,9.09179639999995
0.739799999999996,9.10841759999995
0.741149999999996,9.12503879999995
0.742499999999996,9.14165999999995
0.743849999999996,9.15828119999995
0.745199999999996,9.17490239999995
0.746549999999996,9.19152359999995
0.747899999999996,9.20814479999995
0.749249999999996,9.22476599999995
0.750599999999996,9.24138719999995
0.751949999999996,9.25800839999995
0.753299999999996,9.27462959999995
0.754649999999996,9.29125079999995
0.755999999999996,9.30787199999995
0.757349999999996,9.32449319999995
0.758699999999996,9.34111439999995
0.760049999999996,9.35773559999995
