"Time [s]","Moving1.Speed [rpm]"
3.55184999999993,2.43936382301833
3.55319999999993,2.44376276740405
3.55454999999993,2.44809723395351
3.55589999999993,2.45189839916622
3.55724999999993,2.45510675519375
3.55859999999993,2.45816205383423
3.55994999999993,2.46151588772247
3.56129999999993,2.46553179275034
3.56264999999993,2.47010152372849
3.56399999999993,2.47449224023955
3.56534999999993,2.47821337921048
3.56669999999993,2.48132619353332
3.56804999999993,2.48430923302882
3.56939999999993,2.48777270492064
3.57074999999993,2.49199806483136
3.57209999999993,2.49662690715055
3.57344999999993,2.5009866579848
3.57479999999993,2.50463225164559
3.57614999999993,2.50764554110328
3.57749999999993,2.51066530443947
3.57884999999993,2.5142451338244
3.58019999999993,2.51859066109436
3.58154999999993,2.52326099392725
3.58289999999993,2.52753680199766
3.58424999999993,2.53105429070525
3.58559999999993,2.53402844015771
3.58694999999993,2.53707550631429
3.58829999999993,2.54076007459567
3.58964999999993,2.54520403186413
3.59099999999993,2.54988470420042
3.59234999999993,2.55410044044491
3.59369999999993,2.55755397001636
3.59504999999993,2.56051862531972
3.59639999999993,2.56362188818761
3.59774999999993,2.56742166343327
3.59909999999993,2.57193915450384
3.60044999999993,2.57660868466755
3.60179999999993,2.58077389013468
3.60314999999993,2.58413963150121
3.60449999999993,2.58711702066128
3.60584999999993,2.59027525470533
3.60719999999993,2.59416650462535
3.60854999999993,2.59879458015871
3.60989999999993,2.60345890045038
3.61124999999993,2.60750459469807
3.61259999999993,2.61076159071666
3.61394999999993,2.6137092217366
3.61529999999993,2.61696365847839
3.61664999999993,2.62099628290752
3.61799999999993,2.62565892082262
3.61934999999993,2.63025637130272
3.62069999999993,2.63416156979494
3.62204999999993,2.63732174252134
3.62339999999993,2.64022340890147
3.62474999999993,2.64361483476319
3.62609999999993,2.64781491855441
3.62744999999993,2.65255441883844
3.62879999999993,2.65709344089102
3.63014999999993,2.66093826777789
3.63149999999993,2.66403103985782
3.63284999999993,2.66700718865513
3.63419999999993,2.67048241169747
3.63554999999993,2.67478745521178
3.63689999999993,2.6795743854733
3.63824999999993,2.68411552254782
3.63959999999993,2.68787838241722
3.64094999999993,2.69094877674202
3.64229999999993,2.69397186338211
3.64364999999993,2.69758642996418
3.64499999999993,2.70203430225957
3.64634999999993,2.70691919959083
3.64769999999993,2.71145080559051
3.64904999999993,2.71516433075159
3.65039999999993,2.71825053205514
3.65174999999993,2.72130916077743
3.65309999999993,2.72503231649502
3.65444999999993,2.72957508072083
3.65579999999993,2.73450444467767
3.65714999999993,2.73899897061044
3.65849999999993,2.7426232958768
3.65984999999993,2.74570869728467
3.66119999999993,2.7488081350578
3.66254999999993,2.75264782704282
3.66389999999993,2.75731903858387
3.66524999999993,2.76227779665052
3.66659999999993,2.76674670833382
3.66794999999993,2.77033808081135
3.66929999999993,2.77341667237794
3.67064999999993,2.77661373026198
3.67199999999993,2.78059972379416
3.67334999999993,2.78541519853311
3.67469999999993,2.79042526337207
3.67604999999993,2.79487829910963
3.67739999999993,2.798446461871
3.67874999999993,2.80149738224744
3.68009999999993,2.80481579779181
3.68144999999993,2.80895478941198
3.68279999999993,2.81390514670658
3.68414999999993,2.81894335274296
3.68549999999993,2.8233973956439
3.68684999999993,2.8269188938194
3.68819999999993,2.8300415501094
3.68954999999993,2.83344501206661
3.69089999999993,2.83771695642442
3.69224999999993,2.8427764028741
3.69359999999993,2.84787541945813
3.69494999999993,2.85230210748356
3.69629999999993,2.85581565466286
3.69764999999993,2.85897701331758
3.69899999999993,2.86248529824385
3.70034999999993,2.86687890385478
3.70169999999993,2.87204852426485
3.70304999999993,2.87716583284763
3.70439999999993,2.88158438586705
3.70574999999993,2.88511054884911
3.70709999999993,2.88828670459815
3.70844999999993,2.89187427736325
3.70979999999993,2.89635639642125
3.71114999999993,2.90161375226484
3.71249999999993,2.90677761914187
3.71384999999993,2.9111375726733
3.71519999999993,2.91470004948813
3.71654999999993,2.91787946786137
3.71789999999993,2.92152074733873
3.71924999999993,2.92612816661979
3.72059999999993,2.93145177512924
3.72194999999993,2.93662972393251
3.72329999999993,2.94097988817389
3.72464999999993,2.94451436885069
3.72599999999993,2.94769895939732
3.72734999999993,2.95141843001677
3.72869999999993,2.95616168816873
3.73004999999993,2.96155275269189
3.73139999999993,2.96676212395267
3.73274999999993,2.9710796353063
3.73409999999993,2.97452823757557
3.73544999999993,2.97772782059791
3.73679999999993,2.98150935220523
3.73814999999993,2.98636120333307
3.73949999999993,2.99182002363993
3.74084999999993,2.9970675425957
3.74219999999993,3.00133435965998
3.74354999999993,3.00478460840749
3.74489999999993,3.00795797511305
3.74624999999993,3.01178274327325
3.74759999999993,3.01673234447082
3.74894999999993,3.0222319138715
3.75029999999993,3.0274981031666
3.75164999999993,3.03172157935193
3.75299999999993,3.0351146763212
3.75434999999993,3.03827336454745
3.75569999999993,3.04215108590499
3.75704999999993,3.04720355625408
3.75839999999993,3.05277122407097
3.75974999999993,3.05804416455347
3.76109999999993,3.06225069505941
3.76244999999993,3.06556721952408
3.76379999999993,3.06869303443701
3.76514999999993,3.07262825733897
3.76649999999993,3.07777143690822
3.76784999999993,3.08341563358969
3.76919999999993,3.08862181178537
3.77054999999993,3.0927902976542
3.77189999999993,3.09597361693329
3.77324999999993,3.09900532938796
3.77459999999993,3.10296640250504
3.77594999999993,3.10811344608563
3.77729999999993,3.11372588447321
3.77864999999993,3.11885168924239
3.77999999999993,3.12291833761845
3.78134999999993,3.12598956982129
3.78269999999993,3.12897572640445
3.78404999999993,3.13295892068132
3.78539999999993,3.13811036393057
3.78674999999993,3.14373668298672
3.78809999999993,3.14877625577087
3.78944999999993,3.15269838209631
3.79079999999993,3.15565113054119
3.79214999999993,3.15857735632322
3.79349999999993,3.16258700264237
3.79484999999993,3.1677149892602
3.79619999999993,3.17335783486324
3.79754999999993,3.17829135773651
3.79889999999993,3.18212548825514
3.80024999999993,3.18493159744613
3.80159999999993,3.18780290481622
3.80294999999993,3.19186341416764
3.80429999999993,3.19703607481195
3.80564999999993,3.2026992225249
3.80699999999993,3.2075854746582
3.80834999999993,3.21128076643125
3.80969999999993,3.21393705913118
3.81104999999993,3.21676914849745
3.81239999999993,3.22086773208867
3.81374999999993,3.22607376360315
3.81509999999993,3.23175180410858
3.81644999999993,3.23658645281373
3.81779999999993,3.24011680251715
3.81914999999993,3.24263177003358
3.82049999999993,3.24545575522517
3.82184999999993,3.2496169599905
3.82319999999993,3.25487575200322
3.82454999999993,3.26045481676109
3.82589999999993,3.26518649245123
3.82724999999993,3.26848089472897
3.82859999999993,3.27077082961853
3.82994999999993,3.27353495390277
3.83129999999993,3.27766306928601
3.83264999999993,3.28295504160208
